Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50,1000,2485,1972,999,51432.77344,0.019423
2,1000,0.2,0.2,50,1000,2431,1968,997,48784.26563,0.020437
3,1000,0.2,0.2,50,1000,2480,1986,999,49878.04688,0.020029
4,1000,0.2,0.2,50,1000,2432,1922,999,50237.46094,0.019886
5,1000,0.2,0.2,50,1000,2381,1928,999,49519.31641,0.020174
6,1000,0.2,0.2,50,1000,2485,1980,999,49582.1875,0.020148
7,1000,0.2,0.2,50,1000,2511,1959,999,50026.19531,0.01997
8,1000,0.2,0.2,50,1000,2338,1891,999,51207.14063,0.019509
9,1000,0.2,0.2,50,1000,2533,2043,999,47634.16797,0.020972
10,1000,0.2,0.2,50,1000,2426,1955,998,50128.99219,0.019909
,,,,,,,,,,0.0200457
